2014-09-04 18:56:08,735 [Worker-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/plugins/maven-clean-plugin/2.5/maven-clean-plugin-2.5.jar
2014-09-04 18:56:10,897 [Worker-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/plugins/maven-clean-plugin/2.5/maven-clean-plugin-2.5.jar
2014-09-04 18:56:11,620 [Worker-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/plugins/maven-surefire-plugin/2.12.4/maven-surefire-plugin-2.12.4.jar
2014-09-04 18:56:12,823 [Worker-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/plugins/maven-surefire-plugin/2.12.4/maven-surefire-plugin-2.12.4.jar
2014-09-04 18:56:13,372 [Worker-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/plugins/maven-install-plugin/2.4/maven-install-plugin-2.4.jar
2014-09-04 18:56:14,350 [Worker-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/plugins/maven-install-plugin/2.4/maven-install-plugin-2.4.jar
2014-09-04 18:56:14,853 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 0.2-hivemq-plugin:0.2-hivemq-plugin:0.0.1-SNAPSHOT @ /Users/cgoetz/Development/iotcloud_workspace/0.2-hivemq-plugin/pom.xml.
2014-09-04 18:56:15,014 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /0.2-hivemq-plugin/src
2014-09-04 18:56:15,014 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /0.2-hivemq-plugin/src/test/java because it overlaps with /0.2-hivemq-plugin/src
2014-09-04 18:56:15,087 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2014-09-04 18:56:15,107 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 0.2-hivemq-plugin:0.2-hivemq-plugin:0.0.1-SNAPSHOT @ /Users/cgoetz/Development/iotcloud_workspace/0.2-hivemq-plugin/pom.xml.
2014-09-04 18:56:15,175 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /0.2-hivemq-plugin/src
2014-09-04 18:56:15,175 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /0.2-hivemq-plugin/src/test/java because it overlaps with /0.2-hivemq-plugin/src
2014-09-04 18:56:15,232 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2014-09-04 18:56:15,365 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 18:56:15,366 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/cgoetz/Development/iotcloud_workspace/0.2-hivemq-plugin/src/main/resources
2014-09-04 18:56:15,368 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 18:56:15,368 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/cgoetz/Development/iotcloud_workspace/0.2-hivemq-plugin/src/test/resources
2014-09-04 18:56:19,133 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 18:56:19,137 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2014-09-04 18:56:19,144 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 18:56:19,144 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/cgoetz/Development/iotcloud_workspace/0.2-hivemq-plugin/src/test/resources
2014-09-04 18:56:39,167 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 0.2-hivemq-plugin:0.2-hivemq-plugin:0.0.1-SNAPSHOT @ /Users/cgoetz/Development/iotcloud_workspace/0.2-hivemq-plugin/pom.xml.
2014-09-04 18:56:39,194 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 18:56:39,194 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-09-04 18:56:39,196 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-09-04 18:56:39,196 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/cgoetz/Development/iotcloud_workspace/0.2-hivemq-plugin/src/test/resources
2014-09-04 18:57:16,530 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/archetypes/maven-archetype-quickstart/maven-metadata.xml
2014-09-04 18:57:16,955 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/archetypes/maven-archetype-quickstart/maven-metadata.xml
2014-09-04 18:57:17,674 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/archetypes/maven-archetype-quickstart/1.1/maven-archetype-quickstart-1.1.jar
2014-09-04 18:57:19,117 [ModalContext] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/archetypes/maven-archetype-quickstart/1.1/maven-archetype-quickstart-1.1.jar
2014-09-04 18:57:34,282 [Worker-4] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/plugins/maven-compiler-plugin/2.5.1/maven-compiler-plugin-2.5.1.jar
2014-09-04 18:57:35,208 [Worker-4] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/plugins/maven-compiler-plugin/2.5.1/maven-compiler-plugin-2.5.1.jar
2014-09-04 18:57:35,648 [Worker-4] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://10.0.4.3:8081/nexus/content/groups/public/org/apache/maven/plugins/maven-compiler-plugin/2.5.1/maven-compiler-plugin-2.5.1.pom
